EMPIRE_BM_TECH_1	Black Market Items available at Empire tech level one.	На черном рынке доступны технологии Империи первого уровня.
EMPIRE_BM_TECH_2	Black Market Items available at Empire tech level two.	На черном рынке доступны технологии Империи второго уровня.
EMPIRE_BM_TECH_3	Black Market Items available at Empire tech level three.	На черном рынке доступны технологии Империи третьего уровня.
EMPIRE_BM_TECH_4	Black Market Items available at Empire tech level four.	На черном рынке доступны технологии Империи четвертого уровня.
EMPIRE_BM_TECH_5	Black Market Items available at Empire tech level five.	На черном рынке доступны технологии Империи пятого уровня.
Hint_IDC_CUSTOM_CAMPAIGN_BUTTON	Embark on galactic conquests that pit the Empire, Rebellion and Zann Consortium in space and land battles across multiple systems.	Кампании завоевания Галактики - схватки между Империей и Альянсом на земле и в космосе в самых разных системах.
Hint_IDC_NEW_CAMPAIGN_BUTTON	Experience the story campaign chronicling the rise to power of Tyber Zann and his quest to control the galaxy's criminal underworld.	Пройдите сюжетную кампанию, с начала восстания до окончательной победы в Галактике.
Hint_IDC_NEW_CAMPAIGN_BUTTON_DEMO	Experience the story campaigns starting from the rise of the Rebellion through ultimate galactic victory. (Not available in demo)	[TBL]
Hint_IDC_NEW_FIGHT_BUTTON	Initiates the battle.	Начать бой.
Hint_IDC_SKIRMISH_GAMES_BUTTON	Fight a single battle in space or on land as the Empire, Rebellion or Zann Consortium.	Одиночный бой в космосе или на земле за Империю, Альянс или Синдикат.
Hint_IDC_SKIRMISH_GAMES_BUTTON_DEMO	Fight a single battle in space or on land as either the Empire or the Rebellion. (Not available in demo)	[TBL]
ITEXT_SFX_MCC_NTERDICTOR_1	We need to destroy that Interdictor, or we aren't going anywhere.	Нужно уничтожить этот 'Барьер', или мы не сможем двигаться!
ITEXT_SFX_MCF_INTERDICTOR_1	We need to destroy that Interdictor, or we aren't going anywhere.	Нужно уничтожить этот 'Барьер', или мы не сможем двигаться!
LANGUAGE_CHINESE	Chinese	Китайский
LANGUAGE_ENGLISH	English	Английский
LANGUAGE_FRENCH	French	Французский
LANGUAGE_GERMAN	German	Немецкий
LANGUAGE_ITALIAN	Italian	Итальянский
LANGUAGE_JAPANESE	Japanese	Японский
LANGUAGE_KOREAN	Korean	Корейский
LANGUAGE_SPANISH	Spanish	Испанский
